ability	(n) [əˈbɪlɪti] khả năng
abandon	(v) [əˈbændən] từ bỏ, bỏ rơi
accent	(n) [ˈæksɛnt] giọng điệu
accept	(v) [ækˈsɛpt] chấp nhận
access	(n) [ˈækses] quyền truy cập
accident	(n) [ˈæksɪdənt] tai nạn
account	(n) [əˈkaʊnt] tài khoản
accurate	(adj) [ˈækjʊrət] chính xác
accuse	(v) [əˈkjuːz] buộc tội
achieve	(v) [əˈtʃiːv] đạt được
acknowledge	(v) [ækˈnɒlɪdʒ] công nhận, thừa nhận
acquire	(v) [əˈkwaɪər] giành được, thu được
act	(v) [ækt] hành động
action	(n) [ˈækʃən] hành động
active	(adj) [ˈæktɪv] tích cực, năng động
activity	(n) [ækˈtɪvɪti] hoạt động
actor	(n) [ˈæktə(r)] diễn viên nam
actress	(n) [ˈæktrɪs] diễn viên nữ
actual	(adj) [ˈæktʃuəl] thực tế
adapt	(v) [əˈdæpt] thích nghi
add	(v) [æd] thêm vào
addition	(n) [əˈdɪʃən] phép cộng, sự bổ sung
address	(n) [ˈædrɛs] địa chỉ
adequate	(adj) [ˈædɪkwət] đầy đủ, thỏa đáng
adjust	(v) [əˈdʒʌst] điều chỉnh
administration	(n) [ədˌmɪnɪˈstreɪʃən] quản trị, quản lý
admire	(v) [ədˈmaɪər] ngưỡng mộ
admission	(n) [ədˈmɪʃən] sự nhận vào, sự thừa nhận
admit	(v) [ədˈmɪt] thừa nhận
adopt	(v) [əˈdɒpt] nhận nuôi
adult	(n) [ˈædʌlt] người lớn
advance	(v) [ədˈvæns] tiến bộ
advantage	(n) [ədˈvɑːntɪdʒ] lợi thế
adventure	(n) [ədˈvɛntʃə(r)] cuộc phiêu lưu
advertise	(v) [ˈædvətaɪz] quảng cáo
advice	(n) [ædˈvaɪs] lời khuyên
advise	(v) [ədˈvaɪz] khuyên bảo
aerial	(adj) [ˈɛəriəl] thuộc về không khí, trên không
aesthetic	(adj) [iːsˈθetɪk] thuộc về thẩm mỹ
affair	(n) [əˈfɛər] sự kiện, chuyện tình cảm
affect	(v) [əˈfekt] ảnh hưởng
affection	(n) [əˈfɛkʃən] tình cảm
afford	(v) [əˈfɔːrd] đủ khả năng chi trả
afraid	(adj) [əˈfreɪd] sợ hãi
after	(prep) [ˈæftər] sau khi
afternoon	(n) [ˌæftərˈnuːn] buổi chiều
again	(adv) [əˈgen] lại, một lần nữa
against	(prep) [əˈgenst] chống lại, đối lại
age	(n) [eɪdʒ] tuổi, độ tuổi
agency	(n) [ˈeɪdʒənsi] đại lý, cơ quan
agenda	(n) [əˈdʒendə] chương trình nghị sự
agent	(n) [ˈeɪdʒənt] đại lý, tác nhân
aggressive	(adj) [əˈgresɪv] hung hăng, xâm lược
ago	(adv) [əˈgoʊ] trước, cách đây
agree	(v) [əˈɡriː] đồng ý
agreement	(n) [əˈɡriːmənt] sự đồng ý, hợp đồng
agriculture	(n) [ˈæɡrɪkʌltʃər] nông nghiệp
ahead	(adv) [əˈhed] phía trước
aid	(n) [eɪd] sự giúp đỡ
aim	(v) [eɪm] nhắm, mục đích
air	(n) [ɛər] không khí
aircraft	(n) [ˈɛəkræft] máy bay
airline	(n) [ˈɛərlaɪn] hãng hàng không
airport	(n) [ˈɛərpɔːrt] sân bay
alarm	(n) [əˈlɑːrm] báo động, chuông báo
album	(n) [ˈælbəm] album, tập ảnh
alcohol	(n) [ˈælkəhɔl] rượu, cồn
alert	(adj) [əˈlɜːrt] cảnh giác
alike	(adj) [əˈlaɪk] giống nhau
alive	(adj) [əˈlaɪv] sống
all	(adv) [ɔːl] tất cả
alley	(n) [ˈæli] ngõ, hẻm
allow	(v) [əˈlaʊ] cho phép
ally	(n) [ˈælaɪ] đồng minh
almost	(adv) [ˈɔːlmoʊst] gần như
alone	(adj) [əˈloʊn] một mình
along	(prep) [əˈlɔːŋ] dọc theo
aloud	(adv) [əˈlaʊd] to tiếng, lớn tiếng
alphabet	(n) [ˈælfəbɛt] bảng chữ cái
already	(adv) [ɔːlˈrɛdi] đã, rồi
also	(adv) [ˈɔːlsoʊ] cũng, cũng thế
alter	(v) [ˈɔːltər] thay đổi
alternative	(adj) [ɔːlˈtɜːrnətɪv] thay thế, khác
although	(conj) [ɔːlˈðoʊ] mặc dù
altitude	(n) [ˈæltɪtjuːd] độ cao
altogether	(adv) [ˌɔːltəˈɡeðər] hoàn toàn, tất cả
